,precision_at_k,recall_at_k,f1_at_k,ndcg_at_k,precision_std,recall_std,f1_std,ndcg_std,catalog_coverage,diversity,novelty,model_name,users_evaluated,successful_users,failed_users,success_rate
SVD++,0.17552083333333335,0.18898870055948314,0.13964932923064344,0.2562984208390741,0.20045453449424772,0.2343021426047196,0.14042134648661173,0.25822714296981947,0.09540695710908477,0.9795,0.7240305343511452,SVD++,200,200,0,1.0
TF-IDF,0.0494949494949495,0.059157791148002015,0.053896696351636394,0.0,,,,,0.0707531239446133,0.5,0.3,TF-IDF,100,100,,1.0
Metadata,0.03333333333333334,0.016645249653123546,0.02220317671889451,0.0,,,,,0.057919621749408984,0.5,0.3,Metadata,100,61,,0.61
